,,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA,xG+xA,npxG,npxG+xA,Matches
433,Rafinha\Rafinha,br BRA,MF,Celta Vigo,es La Liga,26,1993,19,17,1451,2,1,0,0,2,0,0.12,0.06,0.19,0.12,0.19,1.4,1.4,1.1,0.09,0.07,0.16,0.09,0.16,Matches
434,Marc Roca\Marc-Roca,es ESP,MF,Espanyol,es La Liga,22,1996,24,24,2067,2,1,2,2,7,0,0.09,0.04,0.13,0.00,0.04,2.1,0.5,1.3,0.09,0.06,0.15,0.02,0.08,Matches
435,Marten de Roon\Marten-de-Roon,nl NED,MFDF,Atalanta,it Serie A,28,1991,22,19,1738,1,4,0,0,10,0,0.05,0.21,0.26,0.05,0.26,1.7,1.7,1.8,0.09,0.09,0.18,0.09,0.18,Matches
436,Amir Rrahmani\Amir-Rrahmani,xk KVX,DF,Hellas Verona,it Serie A,25,1994,25,25,2238,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,2.3,2.3,0.5,0.09,0.02,0.11,0.09,0.11,Matches
437,Fabián Ruiz Peña\Fabian-Ruiz-Pena,es ESP,MF,Napoli,it Serie A,23,1996,22,21,1899,2,2,0,0,2,0,0.09,0.09,0.19,0.09,0.19,2.0,2.0,2.1,0.09,0.10,0.19,0.09,0.19,Matches
438,Xaver Schlager\Xaver-Schlager,at AUT,MF,Wolfsburg,de Bundesliga,21,1997,19,17,1406,1,2,0,0,3,0,0.06,0.13,0.19,0.06,0.19,1.4,1.4,1.9,0.09,0.12,0.22,0.09,0.22,Matches
439,Suso\Suso,es ESP,FWMF,Milan,it Serie A,25,1993,16,15,1359,1,2,0,0,2,0,0.07,0.13,0.20,0.07,0.20,1.3,1.3,3.6,0.09,0.24,0.32,0.09,0.32,Matches
440,Miguel Veloso\Miguel-Veloso,pt POR,MF,Hellas Verona,it Serie A,33,1986,21,20,1721,2,3,0,0,5,0,0.10,0.16,0.26,0.10,0.26,1.7,1.7,3.7,0.09,0.19,0.28,0.09,0.28,Matches
441,Axel Witsel\Axel-Witsel,be BEL,MF,Dortmund,de Bundesliga,30,1989,23,20,1836,4,5,0,0,2,0,0.20,0.25,0.44,0.20,0.44,1.9,1.9,2.6,0.09,0.13,0.22,0.09,0.22,Matches
442,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,25,20,1817,1,2,0,0,5,0,0.05,0.10,0.15,0.05,0.15,1.7,1.7,1.4,0.08,0.07,0.15,0.08,0.15,Matches
443,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,29,28,2549,2,12,0,0,4,0,0.07,0.42,0.49,0.07,0.49,2.2,2.2,8.6,0.08,0.30,0.38,0.08,0.38,Matches
444,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,28,27,2405,4,8,0,0,8,0,0.15,0.30,0.45,0.15,0.45,2.1,2.1,5.8,0.08,0.22,0.29,0.08,0.29,Matches
445,Nicolò Barella\Nicolo-Barella,it ITA,MF,Inter,it Serie A,22,1997,20,16,1416,1,3,0,0,8,0,0.06,0.19,0.25,0.06,0.25,1.2,1.2,1.2,0.08,0.07,0.15,0.08,0.15,Matches
446,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,eng Premier League,29,1989,24,23,2022,1,1,0,0,3,1,0.04,0.04,0.09,0.04,0.09,1.8,1.8,3.1,0.08,0.14,0.22,0.08,0.22,Matches
447,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,eng Premier League,23,1996,27,25,2164,1,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,2.0,2.0,1.3,0.08,0.05,0.14,0.08,0.14,Matches
448,Anthony Briançon\Anthony-Briancon,fr FRA,DF,Nîmes,fr Ligue 1,24,1994,22,20,1737,1,0,0,0,0,2,0.05,0.00,0.05,0.05,0.05,1.5,1.5,0.1,0.08,0.00,0.08,0.08,0.08,Matches
449,Lucas Deaux\Lucas-Deaux,fr FRA,MF,Nîmes,fr Ligue 1,30,1988,17,15,1335,2,1,0,0,2,0,0.13,0.07,0.20,0.13,0.20,1.2,1.2,0.9,0.08,0.06,0.14,0.08,0.14,Matches
450,Axel Disasi\Axel-Disasi,fr FRA,DF,Reims,fr Ligue 1,21,1998,27,27,2430,1,0,0,0,3,0,0.04,0.00,0.04,0.04,0.04,2.2,2.2,0.5,0.08,0.02,0.10,0.08,0.10,Matches
451,Mathieu Dossevi\Mathieu-Dossevi,tg TOG,MFFW,Toulouse,fr Ligue 1,31,1988,26,20,1751,1,2,0,0,0,0,0.05,0.10,0.15,0.05,0.15,1.6,1.6,4.8,0.08,0.24,0.33,0.08,0.33,Matches
452,Lamine Fomba\Lamine-Fomba,fr FRA,MF,Nîmes,fr Ligue 1,21,1998,20,15,1373,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.5,0.08,0.03,0.11,0.08,0.11,Matches
453,José Fonte\Jose-Fonte,pt POR,DF,Lille,fr Ligue 1,35,1983,25,25,2205,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,2.0,2.0,0.6,0.08,0.02,0.11,0.08,0.11,Matches
454,Matthias Ginter\Matthias-Ginter,de GER,DF,M'gladbach,de Bundesliga,25,1994,26,26,2330,1,0,0,0,2,0,0.04,0.00,0.04,0.04,0.04,2.0,2.0,0.7,0.08,0.03,0.10,0.08,0.10,Matches
455,Manuel Gulde\Manuel-Gulde,de GER,DF,Freiburg,de Bundesliga,28,1991,17,15,1371,1,0,0,0,0,0,0.07,0.00,0.07,0.07,0.07,1.3,1.3,0.2,0.08,0.01,0.09,0.08,0.09,Matches
456,Jonas Hector\Jonas-Hector,de GER,MFDF,Köln,de Bundesliga,29,1990,27,26,2253,4,2,0,0,7,0,0.16,0.08,0.24,0.16,0.24,2.0,2.0,2.8,0.08,0.11,0.19,0.08,0.19,Matches
457,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,eng Premier League,27,1992,24,22,1931,2,2,0,0,8,0,0.09,0.09,0.19,0.09,0.19,1.7,1.7,0.8,0.08,0.04,0.12,0.08,0.12,Matches
458,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,eng Premier League,23,1995,28,27,2448,0,1,0,0,5,0,0.00,0.04,0.04,0.00,0.04,2.2,2.2,1.8,0.08,0.07,0.15,0.08,0.15,Matches
459,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MF,Crystal Palace,eng Premier League,29,1989,27,23,1985,1,1,0,0,2,0,0.05,0.05,0.09,0.05,0.09,1.8,1.8,0.9,0.08,0.04,0.12,0.08,0.12,Matches
460,Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,it Serie A,21,1998,20,19,1576,0,4,0,0,8,0,0.00,0.23,0.23,0.00,0.23,1.4,1.4,3.1,0.08,0.18,0.26,0.08,0.26,Matches
461,Guillermo Maripán\Guillermo-Maripan,cl CHI,DF,Monaco,fr Ligue 1,25,1994,20,20,1753,2,0,0,0,2,0,0.10,0.00,0.10,0.10,0.10,1.6,1.6,0.1,0.08,0.00,0.09,0.08,0.09,Matches
462,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,eng Premier League,31,1987,28,28,2425,0,3,0,0,5,0,0.00,0.11,0.11,0.00,0.11,2.1,2.1,2.3,0.08,0.08,0.16,0.08,0.16,Matches
463,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,eng Premier League,22,1996,20,18,1547,4,1,0,0,2,0,0.23,0.06,0.29,0.23,0.29,1.4,1.4,0.7,0.08,0.04,0.12,0.08,0.12,Matches
464,Pedro Obiang\Pedro-Obiang,gq EQG,MF,Sassuolo,it Serie A,27,1992,21,17,1543,1,1,0,0,9,0,0.06,0.06,0.12,0.06,0.12,1.4,1.4,0.6,0.08,0.03,0.11,0.08,0.11,Matches
465,Antonio Raillo\Antonio-Raillo,es ESP,DF,Mallorca,es La Liga,27,1991,23,23,1993,1,0,0,0,6,1,0.05,0.00,0.05,0.05,0.05,1.8,1.8,0.1,0.08,0.01,0.09,0.08,0.09,Matches
466,Bouna Sarr\Bouna-Sarr,gn GUI,DFFW,Marseille,fr Ligue 1,27,1992,27,25,2164,1,3,0,0,3,0,0.04,0.12,0.17,0.04,0.17,2.0,2.0,2.1,0.08,0.09,0.17,0.08,0.17,Matches
467,Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,eng Premier League,27,1991,18,15,1396,2,0,0,0,4,0,0.13,0.00,0.13,0.13,0.13,1.2,1.2,0.1,0.08,0.01,0.08,0.08,0.08,Matches
468,Ellyes Skhiri\Ellyes-Skhiri,tn TUN,MF,Köln,de Bundesliga,24,1995,27,26,2309,1,3,0,0,3,0,0.04,0.12,0.16,0.04,0.16,2.1,2.1,2.2,0.08,0.09,0.17,0.08,0.17,Matches
469,Chris Smalling\Chris-Smalling,eng ENG,DF,Roma,it Serie A,29,1989,21,21,1890,2,1,0,0,1,0,0.10,0.05,0.14,0.10,0.14,1.7,1.7,0.8,0.08,0.04,0.12,0.08,0.12,Matches
470,Carlos Soler\Carlos-Soler,es ESP,MF,Valencia,es La Liga,22,1997,18,16,1377,2,0,0,0,3,0,0.13,0.00,0.13,0.13,0.13,1.2,1.2,1.0,0.08,0.06,0.15,0.08,0.15,Matches
471,Djibril Sow\Djibril-Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,22,1997,24,16,1524,1,2,0,0,2,0,0.06,0.12,0.18,0.06,0.18,1.4,1.4,1.7,0.08,0.10,0.18,0.08,0.18,Matches
472,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,eng Premier League,23,1996,28,28,2520,1,1,0,0,4,0,0.04,0.04,0.07,0.04,0.07,2.1,2.1,0.2,0.08,0.01,0.08,0.08,0.08,Matches
473,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,30,1989,18,18,1582,1,1,0,0,5,0,0.06,0.06,0.11,0.06,0.11,1.3,1.3,0.1,0.08,0.01,0.08,0.08,0.08,Matches
474,Dayot Upamecano\Dayot-Upamecano,fr FRA,DF,RB Leipzig,de Bundesliga,20,1998,24,24,2090,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.8,0.08,0.04,0.11,0.08,0.11,Matches
475,Ronaldo Vieira\Ronaldo-Vieira,gw GNB,MF,Sampdoria,it Serie A,21,1998,21,17,1502,0,1,0,0,8,1,0.00,0.06,0.06,0.00,0.06,1.3,1.3,1.0,0.08,0.06,0.14,0.08,0.14,Matches
476,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,17,16,1418,1,0,0,0,2,1,0.06,0.00,0.06,0.06,0.06,1.1,1.1,0.1,0.07,0.00,0.07,0.07,0.07,Matches
477,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,24,24,2114,2,2,0,0,4,0,0.09,0.09,0.17,0.09,0.17,1.5,1.5,1.2,0.07,0.05,0.12,0.07,0.12,Matches
478,Marc Bartra\Marc-Bartra,es ESP,DFMF,Betis,es La Liga,28,1991,23,22,1972,2,1,0,0,5,0,0.09,0.05,0.14,0.09,0.14,1.5,1.5,0.8,0.07,0.03,0.10,0.07,0.10,Matches
479,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,es La Liga,20,1999,20,14,1268,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.4,0.07,0.03,0.10,0.07,0.10,Matches
480,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,de Bundesliga,28,1990,24,24,2122,4,1,0,0,7,0,0.17,0.04,0.21,0.17,0.21,1.7,1.7,0.8,0.07,0.04,0.11,0.07,0.11,Matches
481,John Brooks\John-Brooks,us USA,DF,Wolfsburg,de Bundesliga,26,1993,20,20,1791,0,1,0,0,4,0,0.00,0.05,0.05,0.00,0.05,1.4,1.4,0.7,0.07,0.03,0.10,0.07,0.10,Matches
482,Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,es La Liga,26,1993,25,25,2234,2,0,0,0,7,0,0.08,0.00,0.08,0.08,0.08,1.8,1.8,0.5,0.07,0.02,0.09,0.07,0.09,Matches
483,Jamilu Collins\Jamilu-Collins,ng NGA,DF,Paderborn 07,de Bundesliga,24,1994,25,25,2218,1,2,0,1,9,1,0.04,0.08,0.12,0.04,0.12,1.7,1.0,1.0,0.07,0.04,0.11,0.04,0.08,Matches
484,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,eng Premier League,30,1989,27,27,2364,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.7,0.07,0.03,0.09,0.07,0.09,Matches
485,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,eng Premier League,28,1991,29,29,2610,4,1,0,0,1,0,0.14,0.03,0.17,0.14,0.17,2.0,2.0,1.0,0.07,0.03,0.10,0.07,0.10,Matches
486,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,it Serie A,30,1989,23,18,1657,0,1,0,0,5,0,0.00,0.05,0.05,0.00,0.05,1.4,1.4,0.9,0.07,0.05,0.12,0.07,0.12,Matches
487,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,31,1988,29,29,2574,1,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,2.1,2.1,0.4,0.07,0.01,0.09,0.07,0.09,Matches
488,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,eng Premier League,30,1989,23,20,1810,2,1,0,0,4,0,0.10,0.05,0.15,0.10,0.15,1.4,1.4,0.3,0.07,0.02,0.09,0.07,0.09,Matches
489,Fernando\Fernando,br BRA,MF,Sevilla,es La Liga,32,1987,24,24,2088,1,2,0,0,10,0,0.04,0.09,0.13,0.04,0.13,1.5,1.5,0.5,0.07,0.02,0.09,0.07,0.09,Matches
490,Fred\Fred,br BRA,MF,Manchester Utd,eng Premier League,26,1993,25,22,2029,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,2.7,0.07,0.12,0.20,0.07,0.20,Matches
491,Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,Paris S-G,fr Ligue 1,29,1989,20,19,1653,1,2,0,0,2,0,0.05,0.11,0.16,0.05,0.16,1.2,1.2,2.9,0.07,0.16,0.23,0.07,0.23,Matches
492,Hans Hateboer\Hans-Hateboer,nl NED,DF,Atalanta,it Serie A,25,1994,21,17,1590,0,3,0,0,7,0,0.00,0.17,0.17,0.00,0.17,1.2,1.2,3.1,0.07,0.17,0.24,0.07,0.24,Matches
493,Mats Hummels\Mats-Hummels,de GER,DF,Dortmund,de Bundesliga,30,1988,27,27,2221,1,3,0,0,7,1,0.04,0.12,0.16,0.04,0.16,1.7,1.7,1.7,0.07,0.07,0.14,0.07,0.14,Matches
494,Hassane Kamara\Hassane-Kamara,gm GAM,DFFW,Reims,fr Ligue 1,24,1994,23,18,1709,2,0,0,0,5,0,0.11,0.00,0.11,0.11,0.11,1.4,1.4,0.5,0.07,0.03,0.10,0.07,0.10,Matches
495,Michael Keane\Michael-Keane,eng ENG,DF,Everton,eng Premier League,26,1993,22,19,1749,1,0,0,0,0,0,0.05,0.00,0.05,0.05,0.05,1.4,1.4,0.4,0.07,0.02,0.09,0.07,0.09,Matches
496,Koke\Koke,es ESP,MF,Atlético Madrid,es La Liga,27,1992,22,21,1867,2,4,0,0,4,0,0.10,0.19,0.29,0.10,0.29,1.5,1.3,4.1,0.07,0.20,0.27,0.06,0.26,Matches
497,Darko Lazović\Darko-Lazovic,rs SRB,DF,Hellas Verona,it Serie A,28,1990,25,25,2197,1,4,0,0,4,0,0.04,0.16,0.20,0.04,0.20,1.7,1.7,5.5,0.07,0.23,0.30,0.07,0.29,Matches
498,Žan Majer\Zan-Majer,si SVN,MF,Lecce,it Serie A,27,1992,20,18,1410,1,1,0,0,6,0,0.06,0.06,0.13,0.06,0.13,1.1,1.1,1.3,0.07,0.08,0.15,0.07,0.15,Matches
499,Gianluca Mancini\Gianluca-Mancini,it ITA,DFMF,Roma,it Serie A,23,1996,23,22,1976,1,0,0,0,12,1,0.05,0.00,0.05,0.05,0.05,1.5,1.5,0.6,0.07,0.03,0.10,0.07,0.10,Matches
500,Kostas Manolas\Kostas-Manolas,gr GRE,DF,Napoli,it Serie A,28,1991,19,19,1684,3,0,0,0,2,0,0.16,0.00,0.16,0.16,0.16,1.3,1.3,0.1,0.07,0.00,0.07,0.07,0.07,Matches
501,Pedro Mendes\Pedro-Mendes,pt POR,DF,Montpellier,fr Ligue 1,28,1990,16,16,1376,1,0,0,0,10,1,0.07,0.00,0.07,0.07,0.07,1.1,1.1,0.1,0.07,0.01,0.08,0.07,0.08,Matches
502,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,eng Premier League,28,1991,23,21,1705,0,1,0,0,5,0,0.00,0.05,0.05,0.00,0.05,1.3,1.3,1.5,0.07,0.08,0.15,0.07,0.15,Matches
503,Matija Nastasić\Matija-Nastasic,rs SRB,DF,Schalke 04,de Bundesliga,26,1993,16,15,1365,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.3,0.07,0.02,0.09,0.07,0.09,Matches
504,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,eng Premier League,22,1996,23,20,1894,2,1,0,0,3,0,0.10,0.05,0.14,0.10,0.14,1.5,1.5,0.4,0.07,0.02,0.09,0.07,0.09,Matches
505,Pablo\Pablo,br BRA,DF,Bordeaux,fr Ligue 1,28,1991,25,25,2173,4,0,0,0,2,0,0.17,0.00,0.17,0.17,0.17,1.6,1.6,0.2,0.07,0.01,0.07,0.07,0.07,Matches
506,Recio\Recio,es ESP,MF,Leganés,es La Liga,28,1991,19,14,1308,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.3,0.07,0.02,0.09,0.07,0.09,Matches
507,Sergio Reguilón\Sergio-Reguilon,es ESP,DF,Sevilla,es La Liga,22,1996,22,22,1872,1,4,0,0,7,0,0.05,0.19,0.24,0.05,0.24,1.4,1.4,3.7,0.07,0.18,0.25,0.07,0.25,Matches
508,Germán Sánchez\German-Sanchez,es ESP,DF,Granada,es La Liga,32,1986,19,18,1590,2,0,0,0,9,1,0.11,0.00,0.11,0.11,0.11,1.2,1.2,0.0,0.07,0.00,0.07,0.07,0.07,Matches
509,Oier Sanjurjo\Oier-Sanjurjo,es ESP,MF,Osasuna,es La Liga,33,1986,20,20,1655,2,0,0,0,10,1,0.11,0.00,0.11,0.11,0.11,1.3,1.3,0.8,0.07,0.05,0.12,0.07,0.12,Matches
510,Sada Thioub\Sada-Thioub,sn SEN,MFFW,Angers,fr Ligue 1,24,1995,23,15,1508,1,2,0,0,3,0,0.06,0.12,0.18,0.06,0.18,1.2,1.2,2.0,0.07,0.12,0.19,0.07,0.19,Matches
511,Lucas Tousart\Lucas-Tousart,fr FRA,MF,Lyon,fr Ligue 1,22,1997,24,19,1763,2,2,0,0,5,0,0.10,0.10,0.20,0.10,0.20,1.4,1.4,0.7,0.07,0.03,0.11,0.07,0.11,Matches
512,Oscar Wendt\Oscar-Wendt,se SWE,DF,M'gladbach,de Bundesliga,33,1985,21,17,1543,2,2,0,0,3,0,0.12,0.12,0.23,0.12,0.23,1.2,1.2,2.0,0.07,0.11,0.19,0.07,0.19,Matches
513,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,eng Premier League,28,1990,28,28,2321,3,0,0,0,0,0,0.12,0.00,0.12,0.12,0.12,1.8,1.8,1.0,0.07,0.04,0.11,0.07,0.11,Matches
514,Denis Zakaria\Denis-Zakaria,ch SUI,MF,M'gladbach,de Bundesliga,22,1996,23,22,1947,2,2,0,0,7,0,0.09,0.09,0.18,0.09,0.18,1.6,1.6,0.9,0.07,0.04,0.11,0.07,0.11,Matches
515,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Villarreal,es La Liga,23,1995,25,18,1684,1,0,0,0,6,0,0.05,0.00,0.05,0.05,0.05,1.4,1.4,0.6,0.07,0.03,0.11,0.07,0.11,Matches
516,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,27,27,2325,0,2,0,0,11,1,0.00,0.08,0.08,0.00,0.08,1.5,1.5,1.9,0.06,0.07,0.13,0.06,0.13,Matches
517,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,25,24,2184,1,1,0,0,9,1,0.04,0.04,0.08,0.04,0.08,1.4,1.4,1.2,0.06,0.05,0.11,0.06,0.11,Matches
518,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,22,19,1769,1,3,0,0,1,0,0.05,0.15,0.20,0.05,0.20,1.3,1.3,1.7,0.06,0.09,0.15,0.06,0.15,Matches
519,Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,21,1998,24,16,1497,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,1.3,0.06,0.08,0.14,0.06,0.14,Matches
520,Lars Bender\Lars-Bender,de GER,DFMF,Leverkusen,de Bundesliga,30,1989,17,15,1328,2,1,0,0,3,0,0.14,0.07,0.20,0.14,0.20,0.8,0.8,1.1,0.06,0.07,0.13,0.06,0.13,Matches
521,John Boye\John-Boye,gh GHA,DF,Metz,fr Ligue 1,32,1987,24,24,2115,2,0,0,0,6,0,0.09,0.00,0.09,0.09,0.09,1.4,1.4,0.1,0.06,0.00,0.06,0.06,0.06,Matches
522,Duje Ćaleta-Car\Duje-Caleta-Car,hr CRO,DF,Marseille,fr Ligue 1,22,1996,23,20,1886,1,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10,1.3,1.3,0.2,0.06,0.01,0.08,0.06,0.08,Matches
523,Antonio Candreva\Antonio-Candreva,it ITA,DFMF,Inter,it Serie A,32,1987,20,16,1335,2,5,0,0,5,0,0.13,0.34,0.47,0.13,0.47,0.8,0.8,3.7,0.06,0.25,0.31,0.06,0.31,Matches
524,Juan Cuadrado\Juan-Cuadrado,co COL,DFFW,Juventus,it Serie A,31,1988,23,19,1842,1,2,0,0,4,1,0.05,0.10,0.15,0.05,0.15,1.2,1.2,3.3,0.06,0.16,0.22,0.06,0.22,Matches
525,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,de Bundesliga,29,1990,21,21,1792,1,1,0,0,3,1,0.05,0.05,0.10,0.05,0.10,1.1,1.1,0.4,0.06,0.02,0.07,0.06,0.07,Matches
526,Dante\Dante,br BRA,DF,Nice,fr Ligue 1,35,1983,21,21,1890,1,0,0,0,7,0,0.05,0.00,0.05,0.05,0.05,1.2,1.2,0.4,0.06,0.02,0.08,0.06,0.08,Matches
527,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,eng Premier League,22,1997,23,22,1956,3,0,0,0,8,0,0.14,0.00,0.14,0.14,0.14,1.4,1.4,0.3,0.06,0.01,0.08,0.06,0.08,Matches
528,Berat Djimsiti\Berat-Djimsiti,al ALB,DF,Atalanta,it Serie A,26,1993,22,21,1869,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,1.2,1.2,0.2,0.06,0.01,0.07,0.06,0.07,Matches
529,Emerson\Emerson,br BRA,DF,Betis,es La Liga,20,1999,23,23,2025,3,5,0,0,8,0,0.13,0.22,0.36,0.13,0.36,1.3,1.3,2.6,0.06,0.12,0.17,0.06,0.17,Matches
530,Felipe\Felipe,br BRA,DF,Atlético Madrid,es La Liga,30,1989,21,20,1802,1,0,0,0,6,0,0.05,0.00,0.05,0.05,0.05,1.3,1.3,0.1,0.06,0.01,0.07,0.06,0.07,Matches
531,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,de Bundesliga,23,1995,26,26,2339,1,0,0,0,9,1,0.04,0.00,0.04,0.04,0.04,1.5,1.5,0.5,0.06,0.02,0.08,0.06,0.08,Matches
532,Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,es La Liga,28,1990,16,16,1408,0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.9,0.9,1.4,0.06,0.09,0.15,0.06,0.15,Matches
533,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DF,Werder Bremen,de Bundesliga,32,1986,23,23,2024,2,0,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.3,1.3,0.9,0.06,0.04,0.10,0.06,0.10,Matches
534,Paolo Ghiglione\Paolo-Ghiglione,it ITA,DF,Genoa,it Serie A,22,1997,20,19,1584,0,5,0,0,4,0,0.00,0.28,0.28,0.00,0.28,1.0,1.0,2.0,0.06,0.12,0.17,0.06,0.17,Matches
535,Kamil Glik\Kamil-Glik,pl POL,DF,Monaco,fr Ligue 1,31,1988,23,23,2070,1,0,0,0,5,0,0.04,0.00,0.04,0.04,0.04,1.5,1.5,0.0,0.06,0.00,0.07,0.06,0.07,Matches
536,Josuha Guilavogui\Josuha-Guilavogui,fr FRA,MFDF,Wolfsburg,de Bundesliga,28,1990,22,22,1968,0,1,0,0,4,0,0.00,0.05,0.05,0.00,0.05,1.2,1.2,1.0,0.06,0.04,0.10,0.06,0.10,Matches
537,Aridane Hernández\Aridane-Hernandez,gq EQG,DF,Osasuna,es La Liga,30,1989,21,21,1890,3,0,0,0,5,0,0.14,0.00,0.14,0.14,0.14,1.2,1.2,0.2,0.06,0.01,0.07,0.06,0.07,Matches
538,Benjamin Hübner\Benjamin-Hubner,de GER,DF,Hoffenheim,de Bundesliga,30,1989,21,21,1813,1,3,0,0,6,1,0.05,0.15,0.20,0.05,0.20,1.3,1.3,1.3,0.06,0.06,0.13,0.06,0.13,Matches
539,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,eng Premier League,25,1994,25,18,1685,1,3,0,0,7,0,0.05,0.16,0.21,0.05,0.21,1.1,1.1,1.9,0.06,0.10,0.16,0.06,0.16,Matches
540,Manuel Lazzari\Manuel-Lazzari,it ITA,DF,Lazio,it Serie A,25,1993,21,18,1665,0,3,0,0,4,0,0.00,0.16,0.16,0.00,0.16,1.1,1.1,2.7,0.06,0.15,0.21,0.06,0.21,Matches
541,David López\David-Lopez,es ESP,DFMF,Espanyol,es La Liga,29,1989,21,18,1496,2,2,0,0,4,1,0.12,0.12,0.24,0.12,0.24,1.1,1.1,0.8,0.06,0.05,0.11,0.06,0.11,Matches
542,David Luiz\David-Luiz,br BRA,DF,Arsenal,eng Premier League,32,1987,25,25,2185,2,1,0,0,4,1,0.08,0.04,0.12,0.08,0.12,1.5,1.5,1.0,0.06,0.04,0.10,0.06,0.10,Matches
543,Saša Lukić\Sasa-Lukic,rs SRB,MF,Torino,it Serie A,22,1996,18,15,1294,0,1,0,0,4,1,0.00,0.07,0.07,0.00,0.07,0.8,0.8,0.4,0.06,0.03,0.09,0.06,0.09,Matches
